trade_id,symbol,side,quantity,entry_price,exit_price,entry_time,exit_time,pnl,pnl_percent,net_pnl,commission,swap,stop_loss,take_profit,result,exit_reason,strategy_name,magic_number,duration_minutes,r_multiple,notes,rr_scenario,session
55aa339e-1d28-4c17-b11d-aa2d4930c4f6,EURUSD,short,5.6000000000000005,1.1296499999999998,1.1298800000000002,2022-01-03T14:51:00,2022-01-03T14:54:00,-128.80000000022207,0.0,-131.80000000022207,3.0,0.0,1.1298300000000001,1.1294399999999996,loss,sl,ORB,0,3.0,-127777.77777779146,,2.0,NewYork
a98086ac-adfa-4518-b1f1-0bf5395c255c,EURUSD,long,2.9000000000000004,1.12789,1.1283699999999997,2022-01-04T08:19:00,2022-01-04T08:25:00,139.19999999988167,0.0,136.19999999988167,3.0,0.0,1.12755,1.1284199999999998,win,tp,ORB,0,6.0,141176.47058811237,,2.0,London
94fccdc6-a3de-4826-992c-bb94c0bf599a,EURUSD,short,0.7000000000000001,1.13044,1.13192,2022-01-05T08:15:00,2022-01-05T08:40:00,-103.60000000001035,0.0,-106.60000000001035,3.0,0.0,1.13187,1.1277300000000001,loss,sl,ORB,0,25.0,-103496.50349651078,,2.0,London
0e053311-3dc3-4fd2-8fe7-00fed2f19cf0,EURUSD,short,4.5,1.1294799999999998,1.12924,2022-01-06T14:46:00,2022-01-06T14:52:00,107.99999999990817,0.0,104.99999999990817,3.0,0.0,1.1297,1.12919,win,tp,ORB,0,6.0,109090.90909076229,,2.0,NewYork
8505ee5f-60ae-4eb1-91e5-6d3f6288f9da,EURUSD,long,3.4000000000000004,1.13698,1.13736,2022-01-12T08:12:00,2022-01-12T08:21:00,129.19999999994047,0.0,126.19999999994047,3.0,0.0,1.13669,1.13741,win,tp,ORB,0,9.0,131034.48275850451,,2.0,London
fcdc22a7-18e6-4911-b842-f160f19be491,EURUSD,long,4.6000000000000005,1.14525,1.1449799999999999,2022-01-12T14:55:00,2022-01-12T14:56:00,-124.2000000000987,0.0,-127.2000000000987,3.0,0.0,1.14503,1.14554,loss,sl,ORB,0,1.0,-122727.27272730945,,2.0,NewYork
420d0825-5817-4588-9777-8c0bc5acdd78,EURUSD,long,3.0,1.1344400000000001,1.1349,2022-01-20T08:26:00,2022-01-20T08:32:00,137.99999999997146,0.0,134.99999999997146,3.0,0.0,1.13411,1.1349500000000001,win,tp,ORB,0,6.0,139393.93939384152,,2.0,London
8b0b1a8b-8e1d-4867-ac52-860329702cee,EURUSD,long,5.300000000000001,1.1310600000000002,1.13082,2022-02-02T14:53:00,2022-02-02T15:04:00,-127.20000000012723,0.0,-130.20000000012723,3.0,0.0,1.13087,1.1312900000000001,loss,sl,ORB,0,11.0,-126315.78947372112,,2.0,NewYork
fb4cfb8b-38ab-4f91-ad68-27d9c4322542,EURUSD,short,2.9000000000000004,1.1431,1.1435000000000002,2022-02-03T14:55:00,2022-02-03T15:07:00,-116.00000000005163,0.0,-119.00000000005163,3.0,0.0,1.14345,1.1425500000000002,loss,sl,ORB,0,12.0,-114285.71428574146,,2.0,NewYork
6a106274-6de2-4d53-873b-7e7e6efa477d,EURUSD,short,3.3000000000000003,1.1412,1.14155,2022-02-08T14:51:00,2022-02-08T14:55:00,-115.50000000002393,0.0,-118.50000000002393,3.0,0.0,1.1415,1.1407500000000004,loss,sl,ORB,0,4.0,-116666.66666670366,,2.0,NewYork
